each word,porter of each word,lancaster of each word,each len of word after porter,each len of word after lancaster,porter_data_without_stop_words,lancaster_data_without_stop_words
Data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
has,ha,has,2,3,ha,-
been,been,been,4,4,-,-
defined,defin,defin,5,5,defin,defin
as,as,as,2,2,-,-
the,the,the,3,3,-,-
nontrivial,nontrivi,nont,8,4,nontrivi,nont
extraction,extract,extract,7,7,extract,extract
of,of,of,2,2,-,-
implicit,implicit,implicit,8,8,implicit,implicit
previously,previous,prevy,8,5,previous,prevy
unknown,unknown,unknown,7,7,unknown,unknown
and,and,and,3,3,-,-
potentially,potenti,pot,7,3,potenti,pot
useful,use,us,3,2,use,us
information,inform,inform,6,6,inform,inform
from,from,from,4,4,-,-
data,data,dat,4,3,data,dat
and,and,and,3,3,-,-
the,the,the,3,3,-,-
science,scienc,sci,6,3,scienc,sci
of,of,of,2,2,-,-
extracting,extract,extract,7,7,extract,extract
useful,use,us,3,2,use,us
information,inform,inform,6,6,inform,inform
from,from,from,4,4,-,-
large,larg,larg,4,4,larg,larg
data,data,dat,4,3,data,dat
sets,set,set,3,3,set,set
or,or,or,2,2,-,-
databases,databas,databas,7,7,databas,databas
An,an,an,2,2,-,-
example,exampl,exampl,6,6,exampl,exampl
of,of,of,2,2,-,-
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
often,often,oft,5,3,often,oft
called,call,cal,4,3,call,cal
the,the,the,3,3,-,-
Market,market,market,6,6,market,market
Basket,basket,basket,6,6,basket,basket
Analysis,analysi,analys,7,6,analysi,analys
relates,relat,rel,5,3,relat,rel
to,to,to,2,2,-,-
its,it,it,2,2,-,-
use,use,us,3,2,use,us
in,in,in,2,2,-,-
retail,retail,retail,6,6,retail,retail
sales,sale,sal,4,3,sale,sal
If,if,if,2,2,-,-
a,a,a,1,1,-,-
clothing,cloth,cloth,5,5,cloth,cloth
store,store,stor,5,4,store,stor
records,record,record,6,6,record,record
the,the,the,3,3,-,-
purchases,purchas,purchas,7,7,purchas,purchas
of,of,of,2,2,-,-
customers,custom,custom,6,6,custom,custom
a,a,a,1,1,-,-
data,data,dat,4,3,data,dat
mining,mine,min,4,3,mine,min
system,system,system,6,6,system,system
could,could,could,5,5,could,could
identify,identifi,ident,8,5,identifi,ident
